Customer_ID,Age,Gender,Tenure_Months,Monthly_Spend,Total_Spend,Num_Orders,Avg_Order_Value,Support_Calls,Last_Purchase_Days,Discount_Usage,Churn
Customer_0001,56,Male,17,790.55,13439.35,36,373.32,5,12,7,1
Customer_0002,69,Male,50,583.1,29155.0,100,291.55,2,156,7,0
Customer_0003,46,Male,40,575.24,23009.6,23,1000.42,3,172,3,1
Customer_0004,32,Female,45,403.22,18144.9,58,312.84,3,171,3,1
Customer_0005,60,Male,32,511.13,16356.16,76,215.21,0,145,3,0
Customer_0006,25,Male,29,409.24,11867.96,22,539.45,2,40,0,0
Customer_0007,38,Male,51,548.94,27995.94,101,277.19,4,177,3,1
Customer_0008,56,Female,58,635.39,36852.62,142,259.53,2,85,3,0
Customer_0009,36,Female,3,680.82,2042.46,2,1021.23,0,57,4,0
Customer_0010,40,Male,56,541.83,30342.48,104,291.75,1,87,1,0
Customer_0011,28,Male,40,726.99,29079.6,57,510.17,1,84,3,0
Customer_0012,28,Male,34,158.45,5387.3,56,96.2,1,121,4,0
Customer_0013,41,Male,40,227.74,9109.6,27,337.39,3,74,4,0
Customer_0014,53,Female,27,822.36,22203.72,16,1387.73,2,107,2,0
Customer_0015,57,Female,13,336.08,4369.04,24,182.04,3,124,5,0
Customer_0016,41,Female,45,42.44,1909.8,97,19.69,3,100,2,0
Customer_0017,20,Female,33,170.72,5633.76,68,82.85,2,43,4,0
Customer_0018,39,Male,6,239.14,1434.84,10,143.48,1,119,3,0
Customer_0019,19,Male,24,958.18,22996.32,17,1352.72,1,23,3,0
Customer_0020,41,Male,19,581.58,11050.02,36,306.94,5,155,2,1
Customer_0021,61,Female,16,934.08,14945.28,16,934.08,1,37,2,0
Customer_0022,47,Male,40,583.66,23346.4,93,251.04,2,134,1,1
Customer_0023,55,Female,28,489.77,13713.56,61,224.81,2,65,3,0
Customer_0024,19,Female,33,327.45,10805.85,63,171.52,0,134,5,0
Customer_0025,38,Male,59,614.24,36240.16,141,257.02,0,178,1,0
Customer_0026,50,Male,59,156.41,9228.19,33,279.64,3,22,2,0
Customer_0027,29,Male,48,900.3,43214.4,95,454.89,1,105,3,0
Customer_0028,39,Female,41,832.75,34142.75,48,711.31,4,88,2,1
Customer_0029,61,Male,13,331.18,4305.34,30,143.51,4,153,3,1
Customer_0030,42,Female,43,953.74,41010.82,44,932.06,1,125,4,0
Customer_0031,66,Male,45,828.7,37291.5,88,423.77,5,79,1,0
