Customer_ID,Age,Gender,Tenure_Months,Monthly_Spend,Total_Spend,Num_Orders,Avg_Order_Value,Support_Calls,Last_Purchase_Days,Discount_Usage,Churn,Churn_Probability,Risk_Level
Customer_0630,66,Male,13,484.8,6302.4,19,331.71,1,171,2,1,0.995,High Risk
Customer_0469,49,Female,5,147.23,736.15,6,122.69,3,155,3,1,0.985,High Risk
Customer_0130,40,Male,15,988.51,14827.65,23,644.68,1,165,3,1,0.985,High Risk
Customer_0946,39,Male,16,601.62,9625.92,27,356.52,2,167,4,1,0.985,High Risk
Customer_0944,45,Female,20,787.36,15747.2,26,605.66,1,165,3,1,0.985,High Risk
Customer_0408,39,Female,36,763.26,27477.36,50,549.55,4,169,2,1,0.985,High Risk
Customer_0311,50,Male,3,703.72,2111.16,4,527.79,2,149,5,1,0.985,High Risk
Customer_0188,47,Male,24,992.57,23821.68,32,744.43,2,165,1,1,0.985,High Risk
Customer_0996,60,Female,4,725.26,2901.04,4,725.26,3,161,2,1,0.98,High Risk
Customer_0458,60,Female,2,135.29,270.58,1,270.58,2,149,2,1,0.98,High Risk
Customer_0179,19,Female,1,388.47,388.47,1,388.47,3,167,3,1,0.98,High Risk
Customer_0881,56,Male,9,706.03,6354.27,18,353.02,2,175,3,1,0.975,High Risk
Customer_0825,38,Female,5,759.53,3797.65,8,474.71,2,166,2,1,0.975,High Risk
Customer_0633,42,Male,11,857.05,9427.55,24,392.81,1,161,4,1,0.975,High Risk
Customer_0397,35,Male,4,754.3,3017.2,9,335.24,2,170,3,1,0.975,High Risk
Customer_1000,55,Male,35,654.76,22916.6,26,881.41,3,158,4,1,0.975,High Risk
Customer_0385,46,Female,15,795.87,11938.05,14,852.72,2,158,4,1,0.97,High Risk
Customer_0684,57,Male,3,653.17,1959.51,6,326.58,3,172,3,1,0.97,High Risk
Customer_0246,34,Male,30,684.81,20544.3,27,760.9,2,164,4,1,0.97,High Risk
Customer_0850,21,Female,2,270.93,541.86,3,180.62,2,157,4,1,0.97,High Risk
Customer_0141,54,Male,4,472.71,1890.84,8,236.36,4,175,4,1,0.97,High Risk
Customer_0985,41,Male,21,397.42,8345.82,42,198.71,4,158,3,1,0.97,High Risk
Customer_0063,52,Female,39,697.79,27213.81,31,877.86,2,159,6,1,0.965,High Risk
Customer_0683,30,Male,9,424.42,3819.78,12,318.32,2,175,2,1,0.965,High Risk
Customer_0546,62,Male,24,713.53,17124.72,32,535.15,2,172,5,1,0.965,High Risk
Customer_0123,24,Male,12,398.62,4783.44,15,318.9,1,166,4,1,0.965,High Risk
Customer_0398,42,Female,28,304.78,8533.84,18,474.1,0,169,1,1,0.965,High Risk
Customer_0803,67,Male,24,472.22,11333.28,22,515.15,2,163,2,1,0.965,High Risk
Customer_0986,19,Female,2,868.5,1737.0,3,579.0,3,149,2,1,0.965,High Risk
Customer_0029,61,Male,13,331.18,4305.34,30,143.51,4,153,3,1,0.965,High Risk
Customer_0617,41,Male,26,418.83,10889.58,28,388.91,1,155,1,1,0.965,High Risk
Customer_0370,36,Male,18,351.5,6327.0,37,171.0,5,159,2,1,0.96,High Risk
Customer_0272,69,Male,16,496.87,7949.92,32,248.44,3,148,3,1,0.96,High Risk
Customer_0733,50,Female,19,766.67,14566.73,26,560.26,2,175,2,1,0.96,High Risk
